group,age_group,male_n,female_n,person_n,male_pct,female_pct,person_pct
EAG and Assam,0-1,2535,1911,4446,7.9,8.3,8.1
EAG and Assam,1-4,191,158,349,0.6,0.7,0.6
EAG and Assam,0-4,2726,2069,4795,8.5,9.0,8.7
EAG and Assam,05-14,436,358,794,1.4,1.6,1.4
EAG and Assam,15-29,2039,1546,3585,6.3,6.7,6.5
EAG and Assam,30-34,1083,486,1569,3.4,2.1,2.8
EAG and Assam,35-44,2846,1160,4006,8.8,5.1,7.3
EAG and Assam,45-54,3457,1568,5025,10.7,6.8,9.1
EAG and Assam,55-69,8737,6343,15080,27.1,27.7,27.4
EAG and Assam,70+,10865,9376,20241,33.8,40.9,36.7
Other States,0-1,1488,1140,2628,2.4,2.7,2.5
Other States,1-4,170,117,287,0.3,0.3,0.3
Other States,0-4,1658,1257,2915,2.7,2.9,2.8
Other States,05-14,422,331,753,0.7,0.8,0.7
Other States,15-29,2883,1578,4461,4.7,3.7,4.3
Other States,30-34,1871,657,2528,3.0,1.5,2.4
Other States,35-44,5219,1854,7073,8.5,4.3,6.8
Other States,45-54,7830,3364,11194,12.8,7.9,10.7
Other States,55-69,18691,12145,30836,30.4,28.4,29.6
Other States,70+,22822,21619,44441,37.2,50.5,42.6
