rank,cause,male_pct,female_pct,person_pct
1,Cardiovascular diseases,32.4,29.1,31.0
2,Respiratory infections,8.9,9.9,9.3
3,Malignant and other Neoplasms,6.0,6.9,6.4
4,Respiratory diseases,5.6,6.0,5.7
5,Digestive diseases,6.7,3.2,5.3
6,Fever of unknown origin,4.1,6.0,4.9
7,Unintentional injuries: Other Than Motor Vehicle Accidents,3.8,3.6,3.7
8,Diabetes mellitus,3.1,4.1,3.5
9,Genito-urinary diseases,3.3,2.6,3.0
10,Ill-defined/All other symptoms signs and abnormal clinical findings,8.5,13.4,10.5
