region,rank,cause,male_pct,female_pct,person_pct
North,1,Cardiovascular diseases,36.5,31.5,34.5
North,2,Respiratory infections,6.6,7.8,7.1
North,3,Malignant and other Neoplasms,6.1,6.8,6.4
North,4,Respiratory diseases,5.6,5.9,5.7
North,5,Fever of unknown origin,4.4,6.2,5.1
North,6,Digestive diseases,6.0,2.9,4.8
North,7,Diabetes mellitus,3.2,5.5,4.1
North,8,Unintentional injuries: Motor Vehicle Accidents,4.6,1.5,3.4
North,9,Genito-urinary diseases,2.9,2.5,2.7
North,10,"Ill-defined/All other symptoms, signs and abnormal clinical and laboratory findings",9.7,15.0,11.8
North-East,1,Cardiovascular diseases,28.6,27.8,28.3
North-East,2,Digestive diseases,13.8,7.0,11.3
North-East,3,Malignant and other Neoplasms,8.9,9.2,9.0
North-East,4,Respiratory infections,7.6,8.5,8.0
North-East,5,Respiratory diseases,5.0,5.3,5.1
North-East,6,Genito-urinary diseases,3.6,3.5,3.6
North-East,7,Fever of unknown origin,3.0,4.1,3.4
North-East,8,Tuberculosis,3.4,3.1,3.3
North-East,9,Diabetes mellitus,3.0,3.5,3.1
North-East,10,"Ill-defined/All other symptoms, signs and abnormal clinical and laboratory findings",6.9,11.0,8.5
East,1,Cardiovascular diseases,35.5,34.2,34.9
East,2,Respiratory infections,7.2,7.4,7.3
East,3,Respiratory diseases,5.1,5.4,5.2
East,4,Malignant and other Neoplasms,4.8,5.5,5.1
East,5,Digestive diseases,5.8,3.9,5.0
East,6,Fever of unknown origin,3.9,5.4,4.5
East,7,Unintentional injuries: Other Than Motor Vehicle Accidents,4.1,3.9,4.0
East,8,Genito-urinary diseases,4.0,3.0,3.6
East,9,Diarrhoeal diseases,2.7,4.0,3.2
East,10,"Ill-defined/All other symptoms, signs and abnormal clinical and laboratory findings",9.4,11.9,10.5
Central,1,Cardiovascular diseases,24.3,20.8,22.9
Central,2,Respiratory infections,11.3,13.7,12.3
Central,3,Respiratory diseases,7.2,6.9,7.0
Central,4,Fever of unknown origin,6.0,8.3,7.0
Central,5,Malignant and other Neoplasms,5.6,5.9,5.7
Central,6,Perinatal conditions,5.3,5.3,5.3
Central,7,Digestive diseases,5.9,3.9,5.1
Central,8,Unintentional injuries: Other Than Motor Vehicle Accidents,4.5,4.0,4.3
Central,9,Unintentional injuries: Motor Vehicle Accidents,5.4,1.6,3.8
Central,10,"Ill-defined/All other symptoms, signs and abnormal clinical and laboratory findings",6.3,9.6,7.6
West,1,Cardiovascular diseases,31.7,28.3,30.3
West,2,Respiratory infections,12.5,13.0,12.7
West,3,Malignant and other Neoplasms,5.7,6.4,6.0
West,4,Fever of unknown origin,4.1,7.5,5.5
West,5,Respiratory diseases,5.1,5.5,5.2
West,6,Digestive diseases,7.1,2.1,5.0
West,7,Diabetes mellitus,3.3,3.8,3.5
West,8,Unintentional injuries: Other Than Motor Vehicle Accidents,3.1,3.0,3.1
West,9,Unintentional injuries: Motor Vehicle Accidents,3.7,1.3,2.7
West,10,"Ill-defined/All other symptoms, signs and abnormal clinical and laboratory findings",9.9,15.9,12.3
South,1,Cardiovascular diseases,34.6,30.3,32.8
South,2,Respiratory infections,8.1,9.1,8.5
South,3,Malignant and other Neoplasms,6.3,8.2,7.1
South,4,Respiratory diseases,5.3,6.2,5.7
South,5,Diabetes mellitus,3.9,5.6,4.6
South,6,Digestive diseases,6.3,2.2,4.6
South,7,Unintentional injuries: Other Than Motor Vehicle Accidents,4.1,4.3,4.2
South,8,Fever of unknown origin,3.3,4.7,3.9
South,9,Genito-urinary diseases,4.3,3.2,3.8
South,10,"Ill-defined/All other symptoms, signs and abnormal clinical and laboratory findings",8.9,14.2,11.2
